id;cliente;accion_id;accion;precio;cantidad;fecha_operacion;modo;operacion_exitosa;operacion_observaciones
1;45549;76248;Funcionalidad Bajada Sorprendente;66966;32895;2023-11-22T06:18:47;Loan;true;política
2;67494;30767;Virtual Grupo;62238;68916;2023-11-21T16:16:26;Rambla coherente Grupo;true;SDR
3;17819;64027;reboot;42490;20698;2023-11-21T15:45:20;explícita Borders Agente;false;Sopa Jardines de
4;46170;98906;overriding secundaria;6749;61435;2023-11-21T19:52:01;Marketing Investment;true;deliver indexing Ecuador
5;81682;69524;Algodón cross-platform;13061;59527;2023-11-22T11:30:10;Mobilidad primary;false;Vatu state TCP
6;78729;16131;payment Croacia solutions;3477;16809;2023-11-21T16:30:47;política Joyería;false;Calidad contingencia Hormigon
7;70635;21314;Configuración Orgánico;14570;34796;2023-11-21T23:33:04;Director Progresivo;false;calculate SCSI
8;25843;46527;payment;75436;99251;2023-11-22T07:26:43;Sopa Interacciones;false;Atún
9;38157;63778;Identidad Avon;35581;92734;2023-11-22T02:32:36;compress;false;Cataluña
10;68528;45479;Humano tangible;57970;98863;2023-11-22T14:48:27;Gris transmit;false;copying Desarrollador B2C
