id;cliente;accion_id;accion;precio;cantidad;fecha_operacion;modo
1;29619;61443;neural Tajikistan;16505;70176;2023-11-21T21:07:59;Queso payment Arquitecto
2;6872;70833;Canarias e-commerce;78867;13930;2023-11-21T22:01:14;networks Dinánmico estatica
3;31411;98549;Bricolaje;79960;92512;2023-11-22T15:02:29;HDD Coche
4;67294;93749;Buckinghamshire;29329;59280;2023-11-22T02:18:37;Borders mobile Pequeño
5;31676;19684;Auto Refinado;52118;12449;2023-11-22T10:54:43;Namibia
6;35530;94696;Ensalada Adelante;58034;39401;2023-11-21T17:48:00;customized Fantástico invoice
7;13189;63687;sistémica reboot Genérico;15091;78975;2023-11-21T20:37:26;Música
8;96792;82189;Amigable website driver;99733;74645;2023-11-21T21:55:25;Heredado Public-key
9;47820;67330;Funcionario Jefe;20936;21381;2023-11-22T06:22:56;Account Azul monetize
10;45761;83574;Director;13708;5015;2023-11-21T23:40:49;Técnico up bypassing
