id;cliente;accion_id;accion;operacion;precio;cantidad;fecha_operacion;modo
1;24590;52072;paralelismo Ladrillo;Pizza enhance;64812;98895;2023-11-16T11:20:42;cultivate
2;33957;971;Fácil;programming circuito Multi;86961;6922;2023-11-16T11:05:54;Micronesia Azul transmitting
3;82232;27401;website;virtual;76309;2739;2023-11-15T23:10:18;interactive Account
4;36729;15344;Huerta Especialista transmit;Checking Futuro;96931;4391;2023-11-16T02:30:10;Navarra
5;69917;46775;state;Nacional quantifying Violeta;84885;66056;2023-11-16T06:48:28;Juguetería Savings Puente
6;91688;64631;Ordenador Navarra;Gris Refinado AI;98544;63497;2023-11-15T19:39:16;connecting front-end
7;98359;75425;interfaces;asíncrona;71323;73583;2023-11-16T06:22:27;empower en
8;191;26647;Inversor;Deportes exploit Pescado;69072;20362;2023-11-16T12:52:51;payment Nakfa Gourde
9;58354;30506;Solar Extramuros facilitate;País overriding holística;52506;92026;2023-11-16T10:24:19;Silla card Identidad
10;60527;71319;Central;payment;9344;96243;2023-11-16T14:11:20;equipos
